Brand,Videos,Avg_Likes,Avg_Comments,Avg_Shares,Avg_Engagement,Share_Like_Ratio,Comment_Like_Ratio
Amuse,3,300167.0,2070.3333333333335,8829.0,311066.3333333333,0.03491146527630746,0.05663965507365842
Anua,42,198670.33333333334,1261.857142857143,7500.761904761905,207432.95238095237,0.050436252799466744,0.018672098159192192
Arencia,36,115818.11111111111,774.9722222222222,4584.388888888889,121177.47222222222,0.05513778795536422,0.03262805501399602
Banila Co,69,243911.33333333334,1074.1159420289855,7458.63768115942,252444.08695652173,0.05487146690240615,0.01390744295517367
Beauty of Joseon,50,162449.96,1066.4,4804.52,168320.88,0.07615256626153247,0.017995291214890935
COSRX,316,159842.48101265822,883.5316455696203,7166.430379746836,167892.44303797468,0.06783415338932498,0.022920940456751495
Clio,1,62000.0,131.0,535.0,62666.0,0.008629032258064516,0.0021129032258064514
Colorgram,1,55700.0,180.0,2105.0,57985.0,0.037791741472172354,0.003231597845601436
Dasique,2,650088.0,4913.5,17052.0,672053.5,0.02447902097902098,0.32191835664335666
Fwee,13,79768.84615384616,265.6923076923077,1266.3846153846155,81300.92307692308,0.02361779086768724,0.048826062739865825
Innisfree,17,65842.82352941176,1022.0,4023.470588235294,70888.29411764706,0.07416563245985815,0.01992520325718207
Laneige,141,264102.12765957444,1026.4609929078015,5930.290780141844,271058.8794326241,0.03685264047415524,0.02995188760373585
Ma:nyo,5,31731.0,245.6,527.4,32504.0,0.017380059297318062,0.0064256935336542255
Medicube,200,193727.26,1084.69,7393.895,202205.845,0.1268100291118531,0.04215949527137231
Mediheal,2,39238.5,338.0,747.0,40323.5,0.0359618186573019,0.01884622177239953
Mixsoon,34,392315.0,2065.9117647058824,13176.470588235294,407557.3823529412,0.04601413003272271,0.022816212427387416
Numbuzin,3,98666.66666666667,256.6666666666667,1161.6666666666667,100085.0,0.011336781801445194,0.003449098327674713
Peripera,1,193000.0,526.0,5855.0,199381.0,0.030336787564766838,0.0027253886010362694
Rom&nd,16,335733.625,723.8125,4597.3125,341054.75,0.03253251282615259,0.008839894044948032
Skin1004,57,151594.43859649124,1153.2631578947369,5057.350877192983,157805.05263157896,0.08473279674720671,0.012068814858094353
TIRTIR,7,521485.28571428574,1930.4285714285713,5693.571428571428,529109.2857142857,0.028194065713639187,0.018864671177490733
Torriden,6,124822.5,784.1666666666666,3044.3333333333335,128651.0,0.0388640634656797,0.021400811718971527
VT Cosmetics,4,12734.75,287.5,1906.75,14929.0,0.11884590663007112,0.09487919191667572
