Brand,Product,Mentions,Total_Engagement,Median_Engagement,Engagement_per_Video,Top_Alias_Used
Medicube,Glass Skin,278,52533752,37486.5,188970.3309352518,glassskin
Ma:nyo,Cleansing Oil,50,17125311,126000.0,342506.22,cleansingoil
Mixsoon,Bean Line,27,14546487,38296.0,538758.7777777778,beanessence
COSRX,Snail Mucin Essence,18,10980296,96277.5,610016.4444444445,snailmucin
Mixsoon,Hyaluronic Acid Serum,10,7622992,88663.0,762299.2,hyaluronicacidserum
Ma:nyo,Cleansing Foam,13,7029705,70377.0,540746.5384615385,cleansingfoam
Mixsoon,Centella Cleansing Foam,3,6105464,70377.0,2035154.6666666667,centellacleansingfoam
TIRTIR,Mask Fit Cushion,8,3788276,299367.0,473534.5,tirtircushion
Banila Co,Clean It Zero,9,3722589,160317.0,413621.0,cleansingbalm
Skin1004,Centella Toner,20,2297333,59576.5,114866.65,skin1004centella
Fwee,Pudding Pot,8,1584593,106210.5,198074.125,puddingpot
Arencia,Rice Mochi Cleanser,7,1504079,72196.0,214868.42857142858,mochicleanser
Anua,Serums,6,1494535,52114.5,249089.16666666666,anuadarkspotcorrectingserum
Anua,Heartleaf Toner,9,1252012,88486.0,139112.44444444444,anuatoner
Medicube,Zero Pore Pad,4,870612,226914.5,217653.0,zeroporepad
Amuse,Cheek Toktok,1,743080,743080.0,743080.0,cheektoktok
Torriden,Dive In Serum,3,659480,271535.0,219826.66666666666,diveinserum
Fwee,Lip Pot,3,575847,98882.0,191949.0,lipandcheek
VT Cosmetics,Reedle Shot,12,502490,26059.0,41874.166666666664,reedleshot
Arencia,Red Smoothie Serum,4,410344,71828.5,102586.0,redsmoothieserum
Ma:nyo,Bifida Ampoule,1,407825,407825.0,407825.0,bifidaampoule
Beauty of Joseon,Relief Sun,3,397322,104634.0,132440.66666666666,reliefsun
Mediheal,Toner Pads,3,293089,20640.0,97696.33333333333,medihealtonerpad
COSRX,Galactomyces Essence,3,284349,6567.0,94783.0,galactomyces
Numbuzin,No.3 Serum,1,274273,274273.0,274273.0,numbuzinno3
Amuse,Lip Tints,1,167892,167892.0,167892.0,amuseliptint
Rom&nd,Juicy Lasting Tint,3,122264,32428.0,40754.666666666664,juicylastingtint
Rom&nd,Glasting Melting Balm,4,117367,20171.0,29341.75,glastingmeltingbalm
Numbuzin,No.5 Serum,1,88486,88486.0,88486.0,numbuzinno5
Numbuzin,No.1 Serum,1,88486,88486.0,88486.0,numbuzinno1
Ma:nyo,Cleansing Water,1,88486,88486.0,88486.0,cleansingwater
Medicube,Exosome Shot,1,43916,43916.0,43916.0,exosomeshot
Mediheal,Madecassoside Pad,1,37150,37150.0,37150.0,madecassosidepad
Numbuzin,No.9 Line,1,5938,5938.0,5938.0,numbuzinno9
Mediheal,Brightening Pad,1,1738,1738.0,1738.0,brighteningpad
