Brand,Product,Mentions,Total_Engagement,Median_Engagement,Engagement_per_Video
Laneige,Laneige – Other,62,22010841.0,72205.0,355013.56451612903
COSRX,COSRX – Serum,113,17240732.0,33990.0,152572.84955752213
Medicube,Glass Skin Line,126,15808906.0,27566.0,125467.50793650794
COSRX,COSRX – Toner,111,15753420.0,37361.0,141922.7027027027
Medicube,Night Collagen Mask,52,14690835.0,84433.0,282516.0576923077
COSRX,Galactomyces Essence,27,11725801.0,70377.0,434288.9259259259
Banila Co,Double Cleansing,49,9589014.0,81728.0,195694.16326530612
Medicube,Medicube – Mask,18,8685801.0,25822.0,482544.5
Mixsoon,Mixsoon – Other,22,8609511.0,43650.5,391341.4090909091
Laneige,Neo Cushion,21,7264647.0,93053.0,345935.5714285714
Anua,Anua – Other,38,7001630.0,34287.0,184253.42105263157
Skin1004,Skin1004 – Other,41,6636461.0,26545.0,161864.9024390244
Laneige,Lip Products,40,6585180.0,85878.0,164629.5
Banila Co,Banila Co – Other,16,6244204.0,71768.5,390262.75
Rom&nd,Rom&nd – Other,15,5448962.0,103360.0,363264.13333333336
Mixsoon,Bean Essence,11,4982426.0,38296.0,452947.8181818182
COSRX,COSRX – Other,27,3653111.0,12473.0,135300.40740740742
Beauty of Joseon,Beauty of Joseon – Sunscreen,15,3629177.0,53973.0,241945.13333333333
Arencia,Arencia – Other,31,2958112.0,30708.0,95422.96774193548
Beauty of Joseon,Relief Sun,20,2716451.0,47994.0,135822.55
TIRTIR,TIRTIR – Other,6,2576832.0,24726.0,429472.0
COSRX,Vitamin C Serum,10,2402797.0,143084.5,240279.7
Laneige,Laneige – Cushion,14,2256429.0,56601.5,161173.5
Beauty of Joseon,Beauty of Joseon – Other,13,2013183.0,66598.0,154860.23076923078
Skin1004,Centella Toner,10,1989663.0,113285.5,198966.3
Anua,Anua – Mask,4,1710554.0,332881.0,427638.5
Banila Co,Banila Co – Mask,4,1585424.0,211296.0,396356.0
COSRX,Retinol/Retinal Serums,22,1495509.0,23137.0,67977.68181818182
Arencia,Rice Mochi Cleanser,5,1404277.0,376155.0,280855.4
Dasique,Dasique – Other,2,1344107.0,672053.5,672053.5
Medicube,Medicube – Other,4,1255627.0,264615.0,313906.75
TIRTIR,TIRTIR – Cushion,1,1126933.0,1126933.0,1126933.0
Fwee,Fwee – Other,13,1056912.0,31319.0,81300.92307692308
Torriden,Torriden – Other,6,771906.0,103199.5,128651.0
Innisfree,Innisfree – Other,6,763334.0,62887.5,127222.33333333333
Amuse,Cheek Toktok,1,743080.0,743080.0,743080.0
COSRX,Snail Mucin Essence,3,448645.0,148993.0,149548.33333333334
Innisfree,Retinol Cica Serum,11,441767.0,20149.0,40160.63636363636
COSRX,COSRX – Sunscreen,2,329548.0,164774.0,164774.0
Numbuzin,Numbuzin – Other,3,300255.0,136443.0,100085.0
Mixsoon,Mixsoon – Toner,1,265014.0,265014.0,265014.0
Skin1004,Skin1004 – Mask,3,214938.0,35114.0,71646.0
Peripera,Peripera – Other,1,199381.0,199381.0,199381.0
Amuse,Amuse – Other,2,190119.0,95059.5,95059.5
Ma:nyo,Bifida Ampoule,5,162520.0,22170.0,32504.0
Skin1004,Centella Ampoule,3,153826.0,44352.0,51275.333333333336
Laneige,Laneige – Mask,4,102205.0,15557.5,25551.25
Mediheal,Mediheal – Other,2,80647.0,40323.5,40323.5
Clio,Clio – Other,1,62666.0,62666.0,62666.0
VT Cosmetics,VT Cosmetics – Other,4,59716.0,1573.0,14929.0
Colorgram,Colorgram – Other,1,57985.0,57985.0,57985.0
Beauty of Joseon,Beauty of Joseon – Mask,2,57233.0,28616.5,28616.5
Rom&nd,Glasting Melting Balm,1,7914.0,7914.0,7914.0
COSRX,COSRX – Mask,1,4449.0,4449.0,4449.0
