Tiktok ID,TikTok_Video_ID,Hashtag_Seed,Author,Caption,Hashtags,Like_Count,Comment_Count,Share_Count,Upload_Date,URL,,,,,,,,,,
TT0001,7539281955125316877,viralkbeauty,velabeauty,"297.1K Likes, 538 Comments. TikTok video from Cori 💜 (@velabeauty): “Explore expert beauty tips and product reviews for radiant skin. Discover effective techniques and must-have products for your skincare routine! #beautytips”.",beautytips,297100,538,31100,,https://www.tiktok.com/@velabeauty/video/7539281955125316877,,,,,,,,,,
TT0002,7546995347441159479,viralkbeauty,itsabbyak,"44 Likes, TikTok video from Abby Does Beauty Over 30 (@itsabbyak): “Explore the benefits of the SKIN1004 trio with Matrixyl, Niacinamide, and Retinol for radiant skin. Shop now to take advantage of the sale! #skincarebundle #koreanskincareproducts”.","koreanskincareproducts,matrixyl3000,niacinamideserum,retinolskincare,skincarebundle",44,5,2,,https://www.tiktok.com/@itsabbyak/video/7546995347441159479,,,,,,,,,,
TT0003,7500596366192708906,viralkbeauty,songofskin,"16.6K Likes, 83 Comments. TikTok video from Song Of Skin (@songofskin): “Discover how I achieve glass skin without Botox using NAD serum. Perfect for flawless beauty! #numbuzin #kbeauty #glassskin #glowyskin”.","asianbeauty,glassskin,glowyskin,kbeauty,koreanbeauty,koreanskincare,no9,numbuzin,skinglow",16600,83,496,,https://www.tiktok.com/@songofskin/video/7500596366192708906,,,,,,,,,,
TT0004,7109024351495785734,viralkbeauty,raffray0,"7.5M Likes, 78.8K Comments. TikTok video from raffray01 (@raffray0): “#CapCut Miracle Liquid Foundation #makeup #skincare #asmr”. original sound - raffray01.","asmr,capcut,makeup,skincare",7500000,78800,74500,,https://www.tiktok.com/@raffray0/video/7109024351495785734,,,,,,,,,,
TT0005,7551177744189525261,viralkbeauty,amalzitouni08,TikTok video from Amal Zitouni (@amalzitouni08): “#viraltiktok @TOCOBO US is one of my top favorite companies for Korean Skincare Products! Especially this Coconut Clay Cleansing Foam! It feels so good on my skin and it very gentle. This gets deep in the pores and takes away an sebum. It helps to prevent black and white heads and I love the clean smell. This is a must have for your skincare routine. I've got it linked below! @TOCOBO @tocobo_latam @TOCOBO #tocobo #kbeauty #skincare #tocobocleanser”. original sound - Amal Zitouni.,"kbeauty,skincare,tocobo,tocobocleanser,viraltiktok",18,6,19,,https://www.tiktok.com/@amalzitouni08/video/7551177744189525261,,,,,,,,,,
TT0006,7487046679074540830,viralkbeauty,ssweetbunii,"72.9K Likes, 2621 Comments. TikTok video from ⊹ ݁ 𝓁𝒾𝓁𝓎 ♡ (@ssweetbunii): “⋆𐙚₊˚⊹♡ — it’s so gloomy today!! 🌸🫶🏼 || i might not quit because i really enjoy making these!! do not reupload❕ #wonyoungism #kbeauty #koreanskincare #skincare #routine #blowup #viral #foryoupage #foryou #fyp #fypシ”. My only looovee - yumiki/يوميكي.","blowup,foryou,foryoupage,fyp,fypシ,kbeauty,koreanskincare,routine,skincare,viral,wonyoungism",72900,2621,2585,,https://www.tiktok.com/@ssweetbunii/video/7487046679074540830,,,,,,,,,,
TT0007,7549018505404747026,viralkbeauty,itsmegrey_15,"123.6K Likes, 456 Comments. TikTok video from Janette Grey (@itsmegrey_15): “Revitalize your dull skin in one week! Discover the ultimate Korean skincare tips for a glowing complexion. #GlassSkinroutinewithmixsoon #koreanskincare”.","glassskinroutinewithmixsoon,koreanskincare,skincaretips,skincareviral,tiktokmademebuyit",123600,456,2412,,https://www.tiktok.com/@itsmegrey_15/video/7549018505404747026,,,,,,,,,,
TT0008,7278035385425415457,viralkbeauty,mattrandon,"5768 Likes, 85 Comments. TikTok video from Mama Random🧩 (@mattrandon): “This K-Beauty foundation is waterproof, blurring, and doesn't come off with a mask!🤯 See the amazing results in this video and find more beauty tips! #beauty #beautytok #beautyhacks #beautytips #kbeauty #skincare #skincaretips #skincare101”.","beauty,beautyhacks,beautytips,beautytok,duet,kbeauty,skincare,skincare101,skincaretips",5768,85,117,,https://www.tiktok.com/@mattrandon/video/7278035385425415457,,,,,,,,,,
TT0009,7402760459100671265,viralkbeauty,haruqhxz,"286.5K Likes, 8894 Comments. TikTok video from ⋆ ̊ ⋆୨୧⋆ ̊ ⋆ (@haruqhxz): “Start your day with a calming ASMR morning routine that includes skincare, makeup, and self-care rituals to help you glow up and feel refreshed. #selfcare #girlthings #kbeauty #skincare #glowup”.","foryoupage,fpyシ,fy,fyp,fyppppppppppppppppppppppp,girl,girlthings,glowup,kbeauty,koreanskincare,makeup,moots?,productive,relatable,selfcare,skincare,viral,viralvideo,wonyoungism,xyzbca",286500,8894,7285,,https://www.tiktok.com/@haruqhxz/video/7402760459100671265,,,,,,,,,,
TT0010,7407833884156529950,viralkbeauty,tatlafata,"338.7K Likes, 1122 Comments. TikTok video from Tatyana (@tatlafata): “Discover the latest korean skincare trends and products that are taking Korea by storm. Explore popular skincare routines and must-have items in the kbeauty industry. #koreanskincare #kbeauty”.",koreanskincare,338700,1122,17000,,https://www.tiktok.com/@tatlafata/video/7407833884156529950,,,,,,,,,,
TT0011,7550680302205586718,viralkbeauty,user496256575118,"46 Likes, TikTok video from 🌽 (@user496256575118): “My friends thought I got work done on my face thanks to these Korean beauty tips.. #beautytips #skincaretips #beauty #glowuptips #koreanbeauty #kbeauty #skincare #creatorsearchinsights”. Korean Skincare. original sound - 🌽.","beauty,beautytips,creatorsearchinsights,glowuptips,kbeauty,koreanbeauty,skincare,skincaretips",46,16,22,,https://www.tiktok.com/@user496256575118/video/7550680302205586718,,,,,,,,,,
TT0012,7549897877900823838,viralkbeauty,markbbig,"236 Likes, 49 Comments. TikTok video from Mark l K-Skincare (@markbbig): “Discover the editing illusion behind glutathione and its skincare benefits. Learn how it can transform your routine! #glutathione #skincare #kbeauty #koreanskincare”.","fyp,glutathione,kbeauty,koreanskincare,skincare,skincaretips,viralproducts",236,49,7,,https://www.tiktok.com/@markbbig/video/7549897877900823838,,,,,,,,,,
TT0013,7541860642815331606,viralkbeauty,leeleugc,"3061 Likes, 126 Comments. TikTok video from ⋆. 𐙚 ˚Leele 📷 °｡⋆♡ (@leeleugc): “Discover how this Kbeauty viral product transformed my skin! Join the #KSECRETGlowChallenge and unleash your glow. #KSECRET #seoul1988”.","kbeauty,ksecret,ksecretglowchallenge,retinal,seoul1988",3061,126,578,,https://www.tiktok.com/@leeleugc/video/7541860642815331606,,,,,,,,,,
TT0014,7549335516378828062,viralkbeauty,cassandrabankson,"44 Likes, TikTok video from Cassandra Bankson (@cassandrabankson): “Discover the effectiveness of the Korean bubblegum cleanser from April Skin. Learn how it removes makeup and nourishes your skin. #skincare #kbeauty #bubblegum #kbeautyskincare”.","bubblegum,kbeauty,kbeautyskincare,skincare,tiktokshopcreatorpicks",44,2,5,,https://www.tiktok.com/@cassandrabankson/video/7549335516378828062,,,,,,,,,,
TT0015,7550008912594898190,viralkbeauty,mluvrism,"248 Likes, TikTok video from mi 𐙚 (@mluvrism): “Explore the Flower Knows makeup palette, your go-to for K-beauty! Discover tips and shades to enhance your look! #kbeauty #flowerknows #mluvrism”.","flowerknows,fyp,kbeauty,mluvrism,viral",248,6,3,,https://www.tiktok.com/@mluvrism/video/7550008912594898190,,,,,,,,,,
TT0016,7484364321502301483,viralkbeauty,songofskin,"21.7K Likes, 133 Comments. TikTok video from Song Of Skin (@songofskin): “Hello!! This is exactly what’s popular right now on SOS 💖🥹🙏🏻 #songofskin #cleardea #collagen #koreanbeauty #mask #skincare #skincareroutine #kbeauty”. song of skin. These are 5 products  | that’s ACTUALLY POPULAR on 
SONG OF SKIN 🤍🙌🏻original sound - Song Of Skin.","cleardea,collagen,kbeauty,koreanbeauty,mask,skincare,skincareroutine,songofskin",21700,133,1017,,https://www.tiktok.com/@songofskin/video/7484364321502301483,,,,,,,,,,
TT0017,7182646692896918790,viralkbeauty,skincupid,"422.8K Likes, 654 Comments. TikTok video from Skin Cupid (@skincupid): “It’s no surprise that these products are popular in our K-Beauty shop. The only downside is that they are constantly out of stock no matter how many times we restock! The good news is that everything is back now so you better run, don’t walk!  All the products are available at: www.skincupid.co.uk  We ship worldwide 💓 #kbeautyskincare #viralskincare #innisfree #glassskin #beautyofjoseon #abib #sunstick #popularskincare #kbeauty #koreanskincareproducts”. Korean skincare that is  | Always sold out | (Part 3) | ...Love You So - The King Khan & BBQ Show.","abib,beautyofjoseon,glassskin,innisfree,kbeauty,kbeautyskincare,koreanskincareproducts,popularskincare,sunstick,viralskincare",422800,654,11900,,https://www.tiktok.com/@skincupid/video/7182646692896918790,,,,,,,,,,
TT0018,7495823614344711446,viralkbeauty,wonidollz,"9558 Likes, 639 Comments. TikTok video from dolly౨ৎ (@wonidollz): “Join us to discover the world of Wonyoungism and its impact on Korean beauty culture. Let's embrace all things girly! #wonyoungism #kbeauty #skincare”.","cbeauty,flowerknows,flowerknowsaffiliate,flowerknowsmakeup,foryoupage,fyp,girly,glowplumpchallenge,innisfree,kbeauty,koreanskincare,pink,pinkwonyoungism,skincare,trend,trending,viral,wonyoungism,xyzbca,yesstyle,yesstyleinfluencers",9558,639,308,,https://www.tiktok.com/@wonidollz/video/7495823614344711446,,,,,,,,,,
TT0019,7486663141376429342,viralkbeauty,derqrodriguez,"62.5K Likes, 231 Comments. TikTok video from Derq🎀🦍 (@derqrodriguez): “Discover the best Korean skincare routine with effective products and techniques. Elevate your skin health today! #skincare #skincareroutine #KoreanBeauty”.","anua,fypシ,fypシ゚viral,hylauronicacid,moisturizer,niacinamide,reedleshot,roundlab,skincare,skincareroutine,soonjung,sunscreen,toner,torriden",62500,231,1582,,https://www.tiktok.com/@derqrodriguez/video/7486663141376429342,,,,,,,,,,
TT0020,7422768787528846638,viralkbeauty,chewy.1000,"287K Likes, 967 Comments. TikTok video from Juhui (@chewy.1000): “Experience the ultimate self-care day with ABIB Collagen Face Mask! Achieve glass skin with this hydrating collagen gel mask. #abib #collagenmask #hydrogel #glassskin #kbeauty”.","abib,abibcollagenfacemask,collagenmask,fyp,glassskin,hydration,hydrogel,jellymask,kbeauty,koreanfacemask,koreanskincare,nightcareroutine",287000,967,6064,,https://www.tiktok.com/@chewy.1000/video/7422768787528846638,,,,,,,,,,
