feature,importance
corea,0.027482258
en,0.024528272
tutorial,0.023583112
2m likes,0.023035135
1m,0.022107534
hyperpigmentation,0.020452391
korean,0.019582266
mask,0.01905848
discover,0.01879431
learn,0.017163662
styles,0.0157378
para,0.0154172685
2m,0.01440221
Author_Followers,0.014172814
aprende,0.013918449
unlock,0.013303593
benefits,0.012877221
makeup,0.012437981
2k,0.012195257
3k,0.011903719
kbeauty koreanskincare,0.011333704
koreanskincare,0.010837704
glowing skin,0.010658523
__,0.010479957
look,0.010425881
skincare,0.010348662
products,0.009914486
explore,0.00985175
koreanskincare skincaretips,0.009462023
makeuptutorial,0.008696562
7k,0.008563124
kbeauty,0.008526936
jooshica,0.008516554
secrets korean,0.008466586
fyp,0.008365912
say,0.008286285
cushion foundation,0.008083056
fypage,0.008079386
el,0.008043606
techniques,0.008035423
routine,0.007992669
skin,0.007530483
centella,0.007530331
korea,0.0073346314
skin1004 skincare,0.007209679
pores,0.0071039116
4k,0.0069396687
ultimate,0.0066118045
kbeauty koreanmakeup,0.006564651
blackheads,0.006532732
join,0.006415221
mixsoon,0.006236631
likes tiktok,0.006187664
tips,0.0060549323
experience,0.006031988
day,0.0059967334
discover perfect,0.0058222786
10,0.005582767
follow,0.0055502006
perfect,0.0053994223
anua,0.005321669
skincare makeup,0.005200688
koreanskincare koreanskincareproducts,0.0051918365
koreanskincare skincare,0.0051257527
3k likes,0.0051134257
skincare routine,0.005067773
wonyoungism,0.00495969
____,0.004955282
life,0.004947002
favorite,0.004944161
la,0.00492012
trends,0.0047418834
descubre,0.00467362
skin1004,0.0045377347
4k likes,0.004418483
foundation,0.0044118348
code,0.0043937503
skincareroutine,0.004355
elevate,0.0043145935
jj,0.004294313
8k,0.0042833234
DayOfWeek_3.0,0.004266307
medicube,0.0042007905
tirtir,0.0041504255
secrets,0.0041491515
foryou,0.004134731
comments,0.004101416
skincareproducts,0.004051393
2k likes,0.0040057646
9k likes,0.004002763
koreanmakeup makeup,0.0039307834
korean makeup,0.0038342075
7k likes,0.0037914468
discover ultimate,0.003753178
kbeauty makeup,0.0037273227
9k,0.0036711113
5k likes,0.0036296006
6k,0.0035651145
skincare tips,0.0035469949
looks,0.0033815824
5k,0.0033802327
flawless,0.0033416348
comments tiktok,0.003307133
tiktok,0.0032781854
DayOfWeek_4.0,0.0032571133
discover best,0.0032410873
rice,0.0032152282
video,0.003198581
review,0.0031867414
tiktok video,0.0031216217
skincare koreanskincare,0.0030877285
effective,0.0030867849
Hashtag_Count,0.00305322
korean skincare,0.003035172
una,0.003013828
glowyskin,0.0029711728
featuring,0.0029484562
acne,0.0029334559
stunning,0.0028203698
skincare skincareroutine,0.0028103378
kbeauty korean,0.0027813334
kbeautyskincare,0.0026532076
learn achieve,0.0026408131
Sentiment,0.0024210892
amyflamy,0.0024158566
toner,0.0024104489
beauty,0.0024008427
best,0.0023551383
6k likes,0.002346982
koreanbeauty,0.002229959
clearskin,0.0022176714
likes,0.0022024116
yesstyle,0.0021931375
Weekend_0,0.0021900467
cream,0.0021885699
8k likes,0.0021795693
amyflamy amyflamy1,0.0021771383
essence,0.0021538306
koreanskincareâ,0.00213866
discover benefits,0.0020914474
pink,0.0020791276
step,0.0020535365
original sound,0.002032987
cleansing,0.0019953232
oil,0.0019857313
DayOfWeek_2.0,0.0019556498
tu,0.0019505647
achieve,0.0018711414
glass skin,0.001836263
original,0.0018290079
glow,0.0018189178
grwm,0.0017827016
glassskin,0.0017207011
koreanmakeup,0.001682878
DayOfWeek_5.0,0.0016791706
using,0.0016684876
use,0.0016646036
productos,0.0016581
DayOfWeek_6.0,0.0015445225
DayOfWeek_0.0,0.0015243965
1k likes,0.0014384817
glass,0.0013808922
kbeauty skincare,0.0013198094
viral,0.001288231
glowing,0.0010956335
skincaretips,0.0010539895
serum,0.001038388
Weekend_1,0.00095836277
DayOfWeek_1.0,0.00090759614
piel,0.0008665878
brightening,0.0007862469
skincare products,0.00065333187
foryou fyp,0.00015425443
clear,0.00013156909
discover secrets,9.2346374e-05
pierdas,0.0
ì²,0.0
ì¼,0.0
piel radiante,0.0
pickleflipflops,0.0
ê³¼,0.0
pink skincare,0.0
picks,0.0
para una,0.0
ë³,0.0
peripera,0.0
paul lailapaul7,0.0
pinkskincare,0.0
ë²,0.0
park,0.0
palette,0.0
pads,0.0
paul,0.0
pdrn,0.0
perfect skincare,0.0
people,0.0
êµ,0.0
perfect achieving,0.0
pad,0.0
perfect skin,0.0
overnight,0.0
parati,0.0
video beauty,0.0
plump,0.0
relatable,0.0
ready,0.0
real,0.0
realfood,0.0
recipe,0.0
recommendations,0.0
recommended,0.0
red,0.0
redness,0.0
reduce,0.0
rejuall,0.0
replying,0.0
pop,0.0
results,0.0
âºã âºã,0.0
retinal,0.0
retinol,0.0
âºã,0.0
reviews,0.0
â¹ã,0.0
rice mask,0.0
ricemask,0.0
right,0.0
radiante,0.0
radiant skin,0.0
radiant glow,0.0
radiant,0.0
popular,0.0
popular products,0.0
pore,0.0
ãªâ,0.0
powder,0.0
power,0.0
pr,0.0
product,0.0
â¼ã,0.0
products korean,0.0
oliveyoung,0.0
products learn,0.0
products like,0.0
products perfect,0.0
products tips,0.0
products used,0.0
prone,0.0
prone skin,0.0
purito,0.0
que,0.0
questions,0.0
order,0.0
night routine,0.0
olive young,0.0
ð½ð,0.0
makeup routine,0.0
makeup skincare,0.0
makeup techniques,0.0
makeup tips,0.0
makeup trends,0.0
makeup tutorial,0.0
makeuphacks,0.0
makeuphaul,0.0
makeuproutine,0.0
makeuptips,0.0
makeuptutorial koreanmakeup,0.0
ðºð,0.0
ð¼ð,0.0
makeuptutorials,0.0
makeuptutorialâ,0.0
ðºð¾ñ ðµð¹ñ,0.0
makeupâ,0.0
mama,0.0
manyo,0.0
ðºð¾ñ,0.0
maquillaje,0.0
maquillaje coreano,0.0
makeup products,0.0
makeup makeuptutorial,0.0
makeup looks,0.0
makeup look,0.0
lily,0.0
lily _lilyis,0.0
link,0.0
linked,0.0
lip,0.0
lipgloss,0.0
lips,0.0
lipstick,0.0
lo,0.0
lo pierdas,0.0
lograr,0.0
long,0.0
look perfect,0.0
los,0.0
love,0.0
magic,0.0
make,0.0
