Threshold,Setup,Model,Accuracy_mean,Accuracy_std,F1_mean,F1_std,AUC_mean,AUC_std
Top 9%,With Text,Logistic Regression,0.9862,0.0046,0.9322,0.0215,0.9988,0.0008
Top 9%,With Text,Random Forest,0.9769,0.0061,0.8732,0.0367,0.9983,0.0013
Top 9%,With Text,SVM,0.9858,0.0018,0.9264,0.011,0.9988,0.0004
Top 9%,With Text,XGBoost,0.999,0.002,0.995,0.01,0.9988,0.0023
Top 9%,With Text,Neural Network,0.9514,0.0122,0.7286,0.0797,0.9595,0.0127
Top 9%,Without Text,Logistic Regression,0.9882,0.005,0.9433,0.0238,0.9993,0.0003
Top 9%,Without Text,Random Forest,0.9985,0.002,0.9928,0.0096,0.9998,0.0005
Top 9%,Without Text,SVM,0.9858,0.0042,0.9331,0.0188,0.9996,0.0004
Top 9%,Without Text,XGBoost,0.999,0.002,0.995,0.01,0.9981,0.0039
Top 9%,Without Text,Neural Network,0.9877,0.007,0.9387,0.0358,0.9947,0.0053
Top 15%,With Text,Logistic Regression,0.9789,0.0121,0.9282,0.0413,0.9962,0.003
Top 15%,With Text,Random Forest,0.9823,0.0091,0.937,0.0337,0.9992,0.0009
Top 15%,With Text,SVM,0.9843,0.0074,0.9468,0.0255,0.998,0.0014
Top 15%,With Text,XGBoost,0.9995,0.001,0.9983,0.0033,0.999,0.002
Top 15%,With Text,Neural Network,0.9155,0.0276,0.6993,0.0887,0.9395,0.0195
Top 15%,Without Text,Logistic Regression,0.9877,0.0079,0.9586,0.0271,0.998,0.002
Top 15%,Without Text,Random Forest,0.9995,0.001,0.9984,0.0033,1.0,0.0001
Top 15%,Without Text,SVM,0.9892,0.0025,0.965,0.0083,0.9996,0.0006
Top 15%,Without Text,XGBoost,0.9995,0.001,0.9983,0.0033,0.9986,0.0027
Top 15%,Without Text,Neural Network,0.9838,0.0077,0.9463,0.0255,0.998,0.0016
Top 19%,With Text,Logistic Regression,0.9691,0.0074,0.9196,0.0187,0.9913,0.0057
Top 19%,With Text,Random Forest,0.9823,0.0039,0.9539,0.0107,0.999,0.0003
Top 19%,With Text,SVM,0.9715,0.005,0.9263,0.0126,0.9947,0.0014
Top 19%,With Text,XGBoost,0.9995,0.001,0.9988,0.0025,0.9989,0.0022
Top 19%,With Text,Neural Network,0.8939,0.0087,0.7214,0.0239,0.9251,0.0079
Top 19%,Without Text,Logistic Regression,0.9804,0.0062,0.9489,0.0168,0.9966,0.004
Top 19%,Without Text,Random Forest,0.9995,0.001,0.9988,0.0025,1.0,0.0
Top 19%,Without Text,SVM,0.9907,0.0068,0.977,0.0166,0.9996,0.0004
Top 19%,Without Text,XGBoost,0.9995,0.001,0.9988,0.0025,0.999,0.002
Top 19%,Without Text,Neural Network,0.9823,0.0096,0.955,0.0246,0.9958,0.0041
